area,industry,size 0 to 4,size 5 to 9,size 10 to 19,size 20 to 49,size 50 to 99,size 100 to 249,size 250+,all businesses
England,Food Drink & Tobacco,4390,1605,1085,820,420,365,340,9025
England,Textiles Wood paper & Publishing,18650,4380,2710,1745,600,310,85,28480
England,Power & Utilities,3150,635,490,285,170,125,115,4970
England,Chemicals Non Metallic minerals manufacturing,6230,2090,1810,1485,770,505,195,13085
England,Metal manufacturing,15380,3950,3080,2245,710,305,75,25745
England,Machinery & equipment (other manufacturing),30670,6565,4190,3225,1390,910,420,47370
England,Retail & Wholesale,258865,84465,46480,24595,6325,3110,1515,425355
England,Hotels & catering,68805,38965,26700,17780,3245,1185,210,156890
England,Public Administration & social work,78310,26925,26125,22195,7600,3635,1885,166675
England,Education,23260,6925,6775,11590,7440,4035,800,60825
England,Transport & storage,72000,9175,6005,4720,2185,1375,730,96190
England,Other services,945100,113390,57905,31035,11050,6820,3640,1168940
East Devon,Food Drink & Tobacco,20,10,5,10,0,0,0,45
East Devon,Textiles Wood paper & Publishing,65,10,5,5,0,0,0,85
East Devon,Power & Utilities,15,5,0,0,0,0,0,20
East Devon,Chemicals Non Metallic minerals manufacturing,10,5,0,0,0,0,0,15
East Devon,Metal manufacturing,35,10,0,5,0,0,0,50
East Devon,Machinery & equipment (other manufacturing),75,20,10,5,0,5,0,115
East Devon,Retail & Wholesale,720,245,135,55,15,5,5,1180
East Devon,Hotels & catering,185,150,110,55,10,5,0,515
East Devon,Public Administration & social work,170,95,75,75,20,0,5,440
East Devon,Education,55,20,25,25,15,5,0,145
East Devon,Transport & storage,135,25,20,15,10,0,0,205
East Devon,Other services,1895,265,150,35,5,10,0,2360
Exeter,Food Drink & Tobacco,10,5,5,0,0,0,0,20
Exeter,Textiles Wood paper & Publishing,40,10,5,10,0,0,0,65
Exeter,Power & Utilities,5,0,0,0,0,0,0,5
Exeter,Chemicals Non Metallic minerals manufacturing,15,0,0,5,0,0,0,20
Exeter,Metal manufacturing,15,5,0,5,0,0,0,25
Exeter,Machinery & equipment (other manufacturing),45,10,5,5,0,5,0,70
Exeter,Retail & Wholesale,525,290,190,105,30,15,5,1160
Exeter,Hotels & catering,125,90,75,65,15,0,0,370
Exeter,Public Administration & social work,160,70,95,90,30,20,20,485
Exeter,Education,50,20,20,15,25,10,5,145
Exeter,Transport & storage,95,15,15,10,0,5,0,140
Exeter,Other services,1635,330,220,125,70,25,15,2420
Mid Devon,Food Drink & Tobacco,10,5,0,5,0,5,0,25
Mid Devon,Textiles Wood paper & Publishing,30,10,5,5,0,0,0,50
Mid Devon,Power & Utilities,10,5,0,0,0,0,0,15
Mid Devon,Chemicals Non Metallic minerals manufacturing,10,0,5,0,0,0,5,20
Mid Devon,Metal manufacturing,50,5,10,0,5,0,0,70
Mid Devon,Machinery & equipment (other manufacturing),70,5,5,10,0,0,0,90
Mid Devon,Retail & Wholesale,435,110,60,35,10,5,0,655
Mid Devon,Hotels & catering,95,65,35,15,0,0,0,210
Mid Devon,Public Administration & social work,105,50,45,30,15,5,0,250
Mid Devon,Education,25,10,15,20,10,5,0,85
Mid Devon,Transport & storage,105,15,5,15,0,0,5,145
Mid Devon,Other services,1035,130,70,10,10,0,0,1255
North Devon,Food Drink & Tobacco,15,5,5,0,0,0,0,25
North Devon,Textiles Wood paper & Publishing,45,10,0,5,5,0,0,65
North Devon,Power & Utilities,15,0,0,5,5,0,0,25
North Devon,Chemicals Non Metallic minerals manufacturing,15,5,0,0,0,0,5,25
North Devon,Metal manufacturing,30,10,5,5,5,0,0,55
North Devon,Machinery & equipment (other manufacturing),55,5,10,5,0,0,5,80
North Devon,Retail & Wholesale,480,210,100,60,10,10,5,875
North Devon,Hotels & catering,225,130,80,50,20,5,0,510
North Devon,Public Administration & social work,120,60,85,45,15,10,0,335
North Devon,Education,35,15,20,25,15,5,0,115
North Devon,Transport & storage,80,15,15,5,0,0,0,115
North Devon,Other services,1125,190,80,40,5,5,0,1445
South Hams,Food Drink & Tobacco,20,10,5,5,0,0,0,40
South Hams,Textiles Wood paper & Publishing,55,10,5,0,0,0,0,70
South Hams,Power & Utilities,10,0,0,0,0,0,0,10
South Hams,Chemicals Non Metallic minerals manufacturing,10,5,5,0,5,0,5,30
South Hams,Metal manufacturing,25,10,10,5,0,0,0,50
