geo_id,area,work_pattern,gender,median weekly pay excluding overtime
E92000001,England,all,all,417.4
E12000009,South West,all,all,381.2
E06000022,Bath and North East Somerset,all,all,376.3
E06000023,"Bristol, City of",all,all,440.8
E06000024,North Somerset,all,all,382.5
E06000025,South Gloucestershire,all,all,387
E06000026,Plymouth,all,all,413.7
E06000027,Torbay,all,all,302.7
E06000028,Bournemouth,all,all,383.3
E06000029,Poole,all,all,406.1
E06000030,Swindon,all,all,426.1
E06000052,Cornwall,all,all,323.8
E06000053,Isles of Scilly,all,all,
E06000054,Wiltshire,all,all,381.1
E10000008,Devon,all,all,358.5
E10000009,Dorset,all,all,364.5
E10000013,Gloucestershire,all,all,402.6
E10000027,Somerset,all,all,356.6
E92000001,England,all,male,498.3
E12000009,South West,all,male,463.8
E06000022,Bath and North East Somerset,all,male,450.3
E06000023,"Bristol, City of",all,male,508.3
E06000024,North Somerset,all,male,479.1
E06000025,South Gloucestershire,all,male,493.4
E06000026,Plymouth,all,male,491.2
E06000027,Torbay,all,male,353.8
E06000028,Bournemouth,all,male,462.1
E06000029,Poole,all,male,486.4
E06000030,Swindon,all,male,545.2
E06000052,Cornwall,all,male,384
E06000053,Isles of Scilly,all,male,
E06000054,Wiltshire,all,male,469.3
E10000008,Devon,all,male,434.4
E10000009,Dorset,all,male,464.6
E10000013,Gloucestershire,all,male,498.3
E10000027,Somerset,all,male,438.3
E92000001,England,all,female,332.3
E12000009,South West,all,female,296
E06000022,Bath and North East Somerset,all,female,298.2
E06000023,"Bristol, City of",all,female,367.2
E06000024,North Somerset,all,female,301.4
E06000025,South Gloucestershire,all,female,274.1
E06000026,Plymouth,all,female,314.4
E06000027,Torbay,all,female,278.6
E06000028,Bournemouth,all,female,309.9
E06000029,Poole,all,female,310.6
E06000030,Swindon,all,female,325.2
E06000052,Cornwall,all,female,260.6
E06000053,Isles of Scilly,all,female,
E06000054,Wiltshire,all,female,300.9
E10000008,Devon,all,female,269.3
E10000009,Dorset,all,female,267
E10000013,Gloucestershire,all,female,312.8
E10000027,Somerset,all,female,273.9
E92000001,England,full time,all,512.7
E12000009,South West,full time,all,477.5
E06000022,Bath and North East Somerset,full time,all,473.6
E06000023,"Bristol, City of",full time,all,508.2
E06000024,North Somerset,full time,all,482.8
E06000025,South Gloucestershire,full time,all,520.7
E06000026,Plymouth,full time,all,496.7
E06000027,Torbay,full time,all,420.1
E06000028,Bournemouth,full time,all,471.7
E06000029,Poole,full time,all,481.4
E06000030,Swindon,full time,all,538.8
E06000052,Cornwall,full time,all,404
E06000053,Isles of Scilly,full time,all,
E06000054,Wiltshire,full time,all,469.1
E10000008,Devon,full time,all,443.1
E10000009,Dorset,full time,all,464.9
E10000013,Gloucestershire,full time,all,501.3
E10000027,Somerset,full time,all,449.8
E92000001,England,full time,male,545.5
E12000009,South West,full time,male,507.9
E06000022,Bath and North East Somerset,full time,male,530.2
E06000023,"Bristol, City of",full time,male,555.9
E06000024,North Somerset,full time,male,541
E06000025,South Gloucestershire,full time,male,574.3
E06000026,Plymouth,full time,male,524.9
E06000027,Torbay,full time,male,420.2
E06000028,Bournemouth,full time,male,511.4
E06000029,Poole,full time,male,515.9
E06000030,Swindon,full time,male,587.3
E06000052,Cornwall,full time,male,423
E06000053,Isles of Scilly,full time,male,
E06000054,Wiltshire,full time,male,493.4
E10000008,Devon,full time,male,469.2
E10000009,Dorset,full time,male,505.1
E10000013,Gloucestershire,full time,male,536.6
E10000027,Somerset,full time,male,489.8
E92000001,England,full time,female,465
E12000009,South West,full time,female,426.4
E06000022,Bath and North East Somerset,full time,female,442
E06000023,"Bristol, City of",full time,female,464.9
E06000024,North Somerset,full time,female,405.8
E06000025,South Gloucestershire,full time,female,453.6
E06000026,Plymouth,full time,female,455.8
E06000027,Torbay,full time,female,387.6
E06000028,Bournemouth,full time,female,404.2
E06000029,Poole,full time,female,424.6
E06000030,Swindon,full time,female,483.3
E06000052,Cornwall,full time,female,373.3
E06000053,Isles of Scilly,full time,female,
E06000054,Wiltshire,full time,female,410.2
E10000008,Devon,full time,female,403
E10000009,Dorset,full time,female,422
E10000013,Gloucestershire,full time,female,443.4
E10000027,Somerset,full time,female,392.8
E92000001,England,part time,all,159.1
E12000009,South West,part time,all,156
E06000022,Bath and North East Somerset,part time,all,153.5
E06000023,"Bristol, City of",part time,all,179.3
E06000024,North Somerset,part time,all,154.8
E06000025,South Gloucestershire,part time,all,129.3
E06000026,Plymouth,part time,all,170
E06000027,Torbay,part time,all,169.6
E06000028,Bournemouth,part time,all,151.3
E06000029,Poole,part time,all,169.9
E06000030,Swindon,part time,all,158.1
E06000052,Cornwall,part time,all,154.6
E06000053,Isles of Scilly,part time,all,
E06000054,Wiltshire,part time,all,159.7
E10000008,Devon,part time,all,154.8
E10000009,Dorset,part time,all,137.2
E10000013,Gloucestershire,part time,all,163.2
E10000027,Somerset,part time,all,154.8
E92000001,England,part time,male,152.5
E12000009,South West,part time,male,149.5
E06000022,Bath and North East Somerset,part time,male,
E06000023,"Bristol, City of",part time,male,152.5
E06000024,North Somerset,part time,male,151.2
E06000025,South Gloucestershire,part time,male,117.6
